mot,definition_fr,traduction_en,exemple_fr,niveau,theme
raisonnement-inductif,Mot frequent du niveau B2 utile dans le theme expression.,raisonnement-inductif,Je place le mot 'raisonnement-inductif' dans une phrase d'entrainement TCF.,B2,Expression
raisonnement-deductif,Mot frequent du niveau B2 utile dans le theme expression.,raisonnement-deductif,Je place le mot 'raisonnement-deductif' dans une phrase d'entrainement TCF.,B2,Expression
analogie,Mot frequent du niveau B2 utile dans le theme expression.,analogie,Je place le mot 'analogie' dans une phrase d'entrainement TCF.,B2,Expression
contrepoint,Mot frequent du niveau B2 utile dans le theme expression.,contrepoint,Je place le mot 'contrepoint' dans une phrase d'entrainement TCF.,B2,Expression
modalisation,Mot frequent du niveau B2 utile dans le theme expression.,modalisation,Je place le mot 'modalisation' dans une phrase d'entrainement TCF.,B2,Expression
attenuation,Mot frequent du niveau B2 utile dans le theme expression.,attenuation,Je place le mot 'attenuation' dans une phrase d'entrainement TCF.,B2,Expression
renforcement,Mot frequent du niveau B2 utile dans le theme expression.,renforcement,Je place le mot 'renforcement' dans une phrase d'entrainement TCF.,B2,Expression
emphase,Mot frequent du niveau B2 utile dans le theme expression.,emphase,Je place le mot 'emphase' dans une phrase d'entrainement TCF.,B2,Expression
focalisation,Mot frequent du niveau B2 utile dans le theme expression.,focalisation,Je place le mot 'focalisation' dans une phrase d'entrainement TCF.,B2,Expression
hierarchisation,Mot frequent du niveau B2 utile dans le theme expression.,hierarchisation,Je place le mot 'hierarchisation' dans une phrase d'entrainement TCF.,B2,Expression
gradation,Mot frequent du niveau B2 utile dans le theme expression.,gradation,Je place le mot 'gradation' dans une phrase d'entrainement TCF.,B2,Expression
concession-rhetorique,Mot frequent du niveau B2 utile dans le theme expression.,concession-rhetorique,Je place le mot 'concession-rhetorique' dans une phrase d'entrainement TCF.,B2,Expression
implication-pragmatique,Mot frequent du niveau B2 utile dans le theme expression.,implication-pragmatique,Je place le mot 'implication-pragmatique' dans une phrase d'entrainement TCF.,B2,Expression
